Categorie;Leverancier;Land;Website;Voorbeeldproduct;Inhoud;Indicatieve inkoop excl;Indicatieve salonprijs excl;Marge %;Bol geschikt;Opmerking
Kleur;Alfaparf Milano;Italie;https://www.alfaparfmilanopro.com/;Evolution of the Color;60 ml;4,80;11,50;58;nee;Sterk merkimago, alternatief voor Koleston
Kleur;Echosline;Italie;https://www.echosline.it/;Vegan kleurlijn;100 ml;3,30;8,90;63;deels;Vegan en eco-positionering
Kleur;Elgon;Italie;https://www.elgon.it/;Moda&Styling kleur;100 ml;3,50;9,20;62;nee;Technisch sterk in blondwerk
Kleur;Fanola;Italie;https://fanola.hair/;No Yellow Shampoo;350 ml;3,50;8,95;61;ja;"Sterkste consumentenpull van de kleurlijst; ook geschikt voor Bol"
Kleur;Fanola;Italie;https://fanola.hair/collections/no-yellow-professional;Kleurcreme;100 ml;3,20;8,50;62;nee;Volumekleur, scherpe inkoop
Kleur;Farmavita;Italie;https://www.farmavita.it/;Life Color Plus;100 ml;3,10;8,50;64;nee;Lage minimumafname, doet ook private label
Kleur;Kaaral;Italie;https://www.kaaral.com/;Baco kleurcreme;100 ml;3,40;9,20;63;nee;Doet ook contractproductie voor private label
Kleur;Lisap Milano;Italie;https://www.lisap.com/;LK kleurcreme;100 ml;3,60;9,50;62;nee;Breed, gevestigd
Kleur;Selective Professional;Italie;https://www.selectiveprofessional.com/;ColorEvo;100 ml;3,60;9,50;62;nee;Weinig aanwezig in de Benelux
Kleur;Vitality's;Italie;https://www.vitalitys.it/;Zero ammoniakvrije kleur;100 ml;4,20;10,90;61;deels;Sluit aan op clean-trend
Scalp en bond;Cutrin;Finland;https://www.cutrin.fi/;Bio+ hoofdhuidserum;100 ml;7,50;17,50;57;deels;Sterk in gevoelige hoofdhuid
Scalp en bond;K18;VS;https://www.k18hair.com/;Leave-in Molecular Repair Mask;50 ml;27,00;47,50;43;ja;Pro-wholesale via k18hairpro.com
Scalp en bond;Neofollics;Nederland;https://neofollics.com/;Hair Growth Shampoo;250 ml;9,50;21,95;57;ja;Nederlandse leverancier, korte logistiek
Scalp en bond;Nioxin;Wella;https://www.nioxin.com/;System Kit;3-delig;14,00;24,50;43;nee;Gevestigde naam bij dunner wordend haar
Scalp en bond;Olaplex;VS;https://olaplex.com/;No.3 Hair Perfector;100 ml;16,00;26,00;38;nee;Lage marge, hoge naamsbekendheid
Scalp en bond;Sim Sensitive System 4;Finland;https://www.simsensitive.com/;Bio Botanical Shampoo;215 ml;8,00;18,50;57;ja;Klinische claim, hoofdhuid en haaruitval
Scalp en bond;epres;VS;https://epres.com/;Bond Repair starterkit;kit;34,00;62,00;45;ja;Van de uitvinder van Olaplex
Verzorging;Davines;Italie;https://www.davines.com/;OI Shampoo;280 ml;11,00;22,00;50;nee;B-Corp, selectieve distributie
Verzorging;Evo;Australie;https://evohair.com/;Fabuloso Colour Intensifier;220 ml;10,00;22,50;56;nee;Uitgesproken karakter, hoge marge
Verzorging;Four Reasons;Finland;https://fourreasons.com/;Color Mask;250 ml;4,50;11,50;61;ja;Distributeurspagina op de site
Verzorging;Insight Professional;Italie;https://www.insightprofessional.it/;Daily Use Shampoo;400 ml;4,00;10,50;62;deels;Natuurlijke positionering, scherpe prijs
Verzorging;Maria Nila;Zweden;https://marianila.com/;Head & Hair Heal Shampoo;350 ml;8,00;17,50;54;ja;100 procent vegan, sterke doorverkoop
Verzorging;TRINITY Haircare;Zwitserland;https://www.trinityhaircare.com/;Care shampoo;300 ml;7,00;16,50;58;nee;Nauwelijks aanwezig in de Benelux
Verzorging;Waterclouds;Zweden;https://waterclouds.com/;Beach Wave Spray;250 ml;5,50;13,50;59;ja;Salonwortels sinds 2001
Verzorging;milk_shake;Italie;https://www.milkshakehair.com/;Whipped Cream;250 ml;6,50;15,50;58;deels;Sterke socialemediapull
Barber;American Crew;VS;https://www.americancrew.com/;Fiber;85 g;7,00;13,95;50;nee;Basisdekking herenverzorging
Barber;Captain Fawcett;VK;https://captainfawcett.com/;Baardolie;50 ml;12,00;26,50;55;ja;Cadeausegment, sterk in Q4
Barber;Morfose;Turkije;https://www.morfose.com/;Ossion styling wax;150 ml;1,80;4,95;64;ja;Scherpste inkoop van de lijst, 64 procent marge
Barber;Proraso;Italie;https://proraso.com/;Scheercreme;150 ml;4,00;8,95;55;ja;Hoge omloop, lage instapprijs
Barber;Reuzel;Nederland;https://www.reuzel.com/;Pink Pomade;113 g;8,00;16,95;53;ja;Wholesale-aanvraag via reuzel.com/pages/wholesale
Barber;The Bluebeards Revenge;VK;https://bluebeards-revenge.co.uk/;Baardolie;50 ml;6,00;14,50;59;ja;Eigen fanbase
Barber;Uppercut Deluxe;Australie;https://uppercutdeluxe.com/;Featherweight;70 g;7,50;15,95;53;ja;Sterk in styling
Getextureerd haar;Avlon KeraCare;VS;https://www.avlon.com/;Humecto Creme;425 g;7,50;17,50;57;ja;Meest groothandelklare merk in dit segment
Getextureerd haar;Cantu;VS;https://www.cantubeauty.com/;Shea Butter Leave-In;340 g;3,00;6,95;57;ja;Volumemerk, verkeerstrekker
Getextureerd haar;Curlsmith;VK;https://curlsmith.com/;Hydro Creme Souffle;237 ml;9,00;19,95;55;ja;Moderne uitstraling, sterke online zichtbaarheid
Getextureerd haar;Design Essentials;VS;https://designessentials.com/;Almond & Avocado leave-in;237 ml;6,00;14,95;60;ja;Gevestigde naam met loyale klantenkring
Getextureerd haar;Mizani;L'Oreal;https://www.mizani.com/;25 Miracle Milk;150 ml;6,50;14,50;55;nee;Makkelijker binnen te halen via bestaande L'Oreal-relatie
Getextureerd haar;PAK Cosmetic Center;VK;https://pakswholesale.com/;Distributeur, tientallen merken;;;;;deels;"Ingang tot meerdere merken tegelijk; prijzen op aanvraag"
Getextureerd haar;Sherry's Cosmetics;Belgie;https://sherrys.be/;Belgische groothandel Afro-haar;;;;;nee;"Bewijst dat de markt bestaat; bedient vooral retail"
Apparatuur;Gamma & Bross;Italie;https://www.gammabross.com/en/head-spa;Ultrasone stoomunit;stuk;180,00;399,00;55;deels;Complete head-spa-uitrusting
Apparatuur;JRL;VS;https://jrlusa.com/;FF2020 tondeuse;stuk;95,00;189,00;50;ja;Moderne barbermachine, sterk groeiend
Apparatuur;Jaguar;Duitsland;https://www.jaguar-solingen.com/;Silver Line schaar;5,5 inch;48,00;98,00;51;ja;Middensegment, breed geaccepteerd
Apparatuur;Kasho;Japan;https://www.kasho.com/;Design Master schaar;5,5 inch;180,00;349,00;48;deels;Premiumschaar, advies maakt het verschil
Apparatuur;Kiepe;Italie;https://www.kiepe.it/;Razor Line schaar;stuk;35,00;74,00;53;ja;Scherpere instapmodellen
Apparatuur;Laifen;China;https://www.laifentech.com/;Swift hogesnelheidsfohn;stuk;65,00;129,00;50;ja;Dyson-alternatief tegen fractie van de prijs
Apparatuur;Medirelax;EU;https://medirelaxa.com/en/product/scalp-analysis-device/;Hoofdhuidanalyse-apparaat;stuk;280,00;549,00;49;ja;Levering 1-3 werkdagen uit Europese voorraad
Apparatuur;Parlux;Italie;https://www.parlux.it/;Alyon fohn;stuk;75,00;159,00;53;ja;Professionele fohn, gevestigde reputatie
Verbruik en duurzaam;Olivia Garden;Belgie;https://www.oliviagarden.com/;Fingerbrush borstel;stuk;5,50;12,95;58;ja;Belgische productie, hoge omloop
Verbruik en duurzaam;Scrummi;VK;https://scrummi.com/;Plantaardige handdoeken;50 st;9,00;18,50;51;nee;Duurzaam verbruiksartikel
Verbruik en duurzaam;WeCare4Hair;Belgie;https://wecare4hair.com/;Bio-Capes afbreekbare kapmantels;doos;12,00;24,50;51;nee;In Belgie gemaakt, lokaal verhaal
Private label;Anhairco;Belgie;https://www.anhairco.be/;Contractproductie eigen label;;;;;ja;"Aartselaar, circa 25 km; prijs op offerte"
Private label;Carin Cosmetics;Belgie;https://www.carin.be/;Contractproductie eigen label;;;;;ja;"Deerlijk; merk wordt al gevoerd"
Private label;Delia Cosmetics;Polen;https://delia.pl/;Private label vanaf 1.000 stuks;;;;;ja;EU, geen invoerrechten
Inkoopkanaal;Sinelco;Belgie;https://www.sinelco.com/;Basisassortiment;;;;;nee;Niet voor merken maar om je inkoopprijs te verbeteren
